ROI,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance
19,83.18129119873048,265.7984558105469,831871079.8673368,3.4485177430001683,82.54816436767578,5.669202954069892,742.9027709960938,181.5484314902789,55.56104323677392,185.14016723632812,0.0,742.9027709960938,35.39579844881905,196.52384158283627,-0.07471149689520135,831871079.8673368,0.11012962705950986,5661.787333895248
20,93.40104370117189,282.969580078125,692033874.9267395,3.5136880162939033,90.09104919433594,4.328982027683383,750.7761840820312,196.7778951450738,57.77687992320669,202.96031188964844,0.0,750.7761840820312,38.45088567040358,210.65461946803234,-0.374644173867873,692033874.9267395,0.10286092510187692,5653.828685495859
21,0.0,208.36971282958984,94883291.3248739,3.0390238168532564,84.8028392791748,2.3641261719896147,275.357666015625,126.83685798410052,57.15976922658834,145.52605438232422,0.0,275.357666015625,55.28563454100042,145.36896557564535,-0.6035129706691502,94883291.3248739,0.14541862391555596,5044.547609254278
22,0.0,220.2707061767578,119297029.23185426,2.912837997749289,58.27991485595703,3.4894740579200545,271.6855163574219,143.87658358822017,46.608671253869865,151.85562133789062,0.0,271.6855163574219,44.0224970045664,157.63366078561816,-0.939556390934464,119297029.23185426,0.15486858102229187,4147.899707657231
23,0.0,159.45882263183594,42245713.13830689,1.6282044296035456,95.8411979675293,2.9056940959533497,251.3568572998047,40.947483177185056,58.711815233299944,0.0,0.0,251.3568572998047,39.356096010846336,80.00540998592655,1.2559841813968367,42245713.13830689,0.5292510101010102,4724.169248470342
24,0.0,149.0440521240234,29426981.66627013,1.5167024588887694,49.956520080566406,3.429114481064264,238.40480041503906,35.48103960506048,52.75507475856703,0.0,0.0,238.40480041503906,32.66323429977991,72.95407652031157,1.4284642652895876,29426981.66627013,0.5650578620935581,4063.3931094756053
25,0.0,145.2305725097656,19188425.168905392,1.5379665108276772,44.74397277832031,3.4659488197306985,248.15643310546875,33.825618701790866,49.90372908548346,0.0,0.0,248.15643310546875,30.83593347594408,69.47860657822429,1.4424096963196713,19188425.168905392,0.5590959218385347,3683.1042914927284
26,0.0,0.0,3914658.138347018,0.49391146307002104,0.0,23.332161265642313,232.05487060546875,6.326623898664192,11.828779348239639,0.0,0.0,232.05487060546875,0.0,27.463965314905053,4.517991561688646,3914658.138347018,0.8825698597792553,714.2432208631589
27,0.0,128.48807525634766,13983282.970215507,1.6200791236516308,40.560604095458984,4.642640384393644,230.90589904785156,29.29633883025195,42.291270929841396,0.0,0.0,230.90589904785156,23.307783628501895,61.475732347210084,1.712324843261375,13983282.970215507,0.5415720964207451,2920.9901987688845
28,0.0,0.0,1850983.6882887327,0.35209849130593757,0.0,43.61478033549335,204.28672790527344,3.2844867398968565,6.276534128866021,0.0,0.0,204.28672790527344,0.0,17.53489017558676,6.0897465916673825,1850983.6882887327,0.9177853445326212,296.6845203253307
29,61.562561416625975,199.14165954589845,87451839.99069953,2.930409081509245,57.17133712768555,3.8437171656915403,373.63275146484375,139.95401186883635,41.63170426102311,150.7466812133789,0.0,373.63275146484375,25.164901572219602,150.6750473149392,-0.9453257947075563,87451839.99069953,0.15916708990703807,3115.8444451767864
30,0.0,184.8090576171875,53899204.24247633,2.2494956733946934,155.22245025634766,1.6217573914235508,295.85302734375,70.61334083003518,78.22007650858919,0.0,0.0,295.85302734375,67.51059647352982,109.03110631534723,0.5206081954303597,53899204.24247633,0.33834952655902406,6901.538241169837
31,0.0,196.4511001586914,19489065.32816589,2.999120236720417,177.0910758972168,1.5044289648326408,264.1553649902344,102.39710273524092,70.22950415656268,109.85185241699219,0.0,264.1553649902344,65.81711450902709,128.6242514903318,-0.10219046508740444,19489065.32816589,0.15040888271393196,6059.031422876638
32,0.0,0.0,1795002.367013623,0.49313514896864047,0.0,21.29926529804751,196.7712860107422,7.8009341495171975,14.649688161267514,0.0,0.0,196.7712860107422,0.0,33.780661634338514,4.370502006531874,1795002.367013623,0.882308294491153,1080.2785268485663
33,128.67921142578126,224.33006591796877,459841535.03572476,2.7439596505997237,54.72779846191406,11.824928928246702,601.5732421875,172.01606778908436,34.129703261883705,162.80267333984375,3.870258092880249,597.7029840946198,22.285157392456966,178.54438108308366,1.5729766521722401,459841535.03572476,0.19480656115868547,2288.568438722539
34,124.72651062011718,222.20699462890624,427314662.31849396,2.752927613653935,42.414794921875,9.431584694301911,527.372802734375,166.8862689361223,32.16018251880839,160.80523681640625,0.0,527.372802734375,18.783523370469464,173.50268460526428,0.7957843859249465,427314662.31849396,0.20209794612130813,2252.1548058140756
35,128.9957077026367,223.61985931396487,350977055.21734107,2.625699595707633,52.54150390625,4.62701378740464,456.33404541015625,170.56725621323415,30.853564903295737,163.21123504638672,19.656282424926758,436.6777629852295,21.38992930161353,175.09532574358465,0.4741468000443834,350977055.21734107,0.20128389616757034,1565.1842051409524
36,135.60433807373047,229.98639373779298,341566999.8379252,2.6260564425418225,61.03193664550781,2.941367862662678,370.529541015625,176.8476285205502,32.434414249927684,167.55584716796875,16.02421760559082,354.5053234100342,24.1712340102851,181.10446842784654,0.3862362906961549,341566999.8379252,0.1916323695824072,1523.7447711903455
37,126.2869041442871,215.58047180175782,420604896.8278837,2.461520373245084,43.13374328613281,3.0132784297135657,286.1405029296875,163.5723444824523,27.3116489102542,157.06815338134766,38.46792984008789,247.6725730895996,18.778485054852197,167.22963588693017,0.19985411075500323,420604896.8278837,0.22069712150577184,1209.8392393892013
38,138.95274353027344,224.5950439453125,593388340.9751074,2.3980568280232752,62.22126770019531,2.0050106926841904,306.1714172363281,181.2480560456155,31.456565114600348,177.411865234375,71.6142807006836,234.55713653564453,25.795557199243106,184.64284817785222,0.09899338120929345,593388340.9751074,0.21761813318923157,1242.1235629148105
39,130.81310577392577,215.10746307373046,106039672.42491055,2.3553260395837072,58.397151947021484,3.058894121669844,238.29296875,167.16209731088853,29.680167220120822,157.85074615478516,34.42033004760742,203.87263870239258,22.96910697672786,170.9152742473584,-0.2559212150006562,106039672.42491055,0.23012317009311747,1268.86419367477
40,144.8568084716797,218.17625427246094,95736158.25368723,1.9882437712341494,48.340797424316406,5.364571206043717,239.28811645507812,189.4367036089831,26.920354258235015,203.96317291259766,30.305543899536133,208.982572555542,19.203017829735305,192.33391061837898,-1.4638093396593437,95736158.25368723,0.3534145228602347,1106.0684995208887
